Project_Name	Sample_Name	primer_name	primer_seq	indeks_numer	wirtualny	condition	cell_line	localization	transcript	person	replicate	R5_file	R3_file
Zbigniew_3RACE	L1rep_3RACE_overexp_M10_1	NA	NA	NA	NA	MOV10	293	total	REPORTERL1_overexp	ZW	1	L1rep_3RACE_overexp_M10_1_R5.fastq	L1rep_3RACE_overexp_M10_1_R3.fastq
Zbigniew_3RACE	L1rep_3RACE_overexp_M10_2	NA	NA	NA	NA	MOV10	293	total	REPORTERL1_overexp	ZW	2	L1rep_3RACE_overexp_M10_2_R5.fastq	L1rep_3RACE_overexp_M10_2_R3.fastq
Zbigniew_3RACE	L1rep_3RACE_overexp_p0_1	NA	NA	NA	NA	P0	293	total	REPORTERL1_overexp	ZW	1	L1rep_3RACE_overexp_p0_1_R5.fastq	L1rep_3RACE_overexp_p0_1_R3.fastq
Zbigniew_3RACE	L1rep_3RACE_overexp_p0_2	NA	NA	NA	NA	P0	293	total	REPORTERL1_overexp	ZW	2	L1rep_3RACE_overexp_p0_2_R5.fastq	L1rep_3RACE_overexp_p0_2_R3.fastq
Zbigniew_3RACE	L1rep_3RACE_overexp_Z11_1	NA	NA	NA	NA	Z11	293	total	REPORTERL1_overexp	ZW	1	L1rep_3RACE_overexp_Z11_1_R5.fastq	L1rep_3RACE_overexp_Z11_1_R3.fastq
Zbigniew_3RACE	L1rep_3RACE_overexp_Z11_2	NA	NA	NA	NA	Z11	293	total	REPORTERL1_overexp	ZW	2	L1rep_3RACE_overexp_Z11_2_R5.fastq	L1rep_3RACE_overexp_Z11_2_R3.fastq
Zbigniew_3RACE	L1rep_3RACE_overexp_Z11cm_1	NA	NA	NA	NA	Z11cm	293	total	REPORTERL1_overexp	ZW	1	L1rep_3RACE_overexp_Z11cm_1_R5.fastq	L1rep_3RACE_overexp_Z11cm_1_R3.fastq
Zbigniew_3RACE	L1rep_3RACE_overexp_Z11cm_2	NA	NA	NA	NA	Z11cm	293	total	REPORTERL1_overexp	ZW	2	L1rep_3RACE_overexp_Z11cm_2_R5.fastq	L1rep_3RACE_overexp_Z11cm_2_R3.fastq
Zbigniew_3RACE	L1rep_3RACE_overexp_Z6_1	NA	NA	NA	NA	Z6	293	total	REPORTERL1_overexp	ZW	1	L1rep_3RACE_overexp_Z6_1_R5.fastq	L1rep_3RACE_overexp_Z6_1_R3.fastq
Zbigniew_3RACE	L1rep_3RACE_overexp_Z6_2	NA	NA	NA	NA	Z6	293	total	REPORTERL1_overexp	ZW	2	L1rep_3RACE_overexp_Z6_2_R5.fastq	L1rep_3RACE_overexp_Z6_2_R3.fastq
